salami_id,salami_length,youtube_id,youtube_length,coverage,coverage_percent,onset_in_youtube,onset_in_salami
75,160.62695833333333,7AmvvdPzzmw,161,159.9,0.9954742445422845,0.0,0.0
79,121.782875,Ad-vv9H4RsY,122,120.7,0.9911081504686107,0.4,0.4
82,115.591875,AnnVRQVgiq8,457,110.6,0.9568146550092729,341.9,0.2
83,23.69308333333333,0rnvM6Mj2vo,920,18.8,0.793480516465776,14.6,4.3
86,630.7787916666666,2YYETUZ7Xjw,633,378.7,0.6003689486759457,1.5,1.0
93,289.12329166666666,NuzVY7srVVI,0,279.0,0.9649862464960522,2107.7,1.8
95,188.342875,K8TEWwu9-98,188,186.7,0.9912772118403735,0.1,0.1
96,148.16654166666666,X5Kjvzh4DhY,468,142.5,0.9617555920322768,2.7,2.7
99,192.05225,uPh_7tSEc4w,193,187.9,0.978379581598237,2.6,1.3
101,21.263708333333334,FNZ_MuF1C7A,716,20.6,0.9687868022393398,386.4,0.2
102,44.9045,6Rd5_9hyWm0,285,42.6,0.9486799763943481,146.4,0.3
107,64.49633333333334,Q-dobBQqFhs,435,55.4,0.8589635586519129,119.6,0.2
108,431.9608,JpjEVsogI0Q,433,378.0,0.8750794053534487,1.3,2.0
110,117.21145833333334,UQCwlhm-nks,117,116.0,0.9896643352914515,0.4,0.4
111,69.302875,ShRjwiNRQSY,69,66.9,0.9653279174926005,0.7,0.8
112,187.6375833333333,MbB_sbRjoAI,188,178.6,0.9518348980370405,0.6,0.5
114,297.8742916666667,ZIalwWHBnkY,305,292.3,0.9812864291326472,9.6,3.0
116,273.00575,AB5sDA7aztA,273,266.4,0.9758036231837608,0.2,0.3
118,71.7845,SeGjwmA-nao,72,68.5,0.9542449971790569,0.1,0.1
120,108.5649,epIliwZ9Q9k,109,105.7,0.9736111763562626,0.7,1.1
122,424.071875,gAsXbQlCMBY,415,379.8,0.8956028975041083,0.5,0.6
124,1078.8310000000001,0i8rk2fftVg,462,379.2,0.3514915681881592,1.3,0.6
128,126.0275,WieyrIDEghQ,125,119.7,0.9497927039733391,0.8,0.5
131,98.514,cRTAtspjwKs,206,89.4,0.9074852305256107,0.4,0.6
132,168.51591666666667,JIuNdOHG65g,169,166.0,0.9850701541051265,1.6,1.6
133,189.59675,_mH18duWVLE,190,188.5,0.9942153544298624,0.6,0.6
134,32.339625,3AXwDhybOao,232,31.8,0.9833138139356904,72.0,0.2
135,116.11429166666667,CtpxNJvIr58,294,114.4,0.9852361699661576,0.3,0.3
139,167.83675,sDiPfjCCFDg,285,165.3,0.9848856105709864,1.1,0.6
140,111.0748125,AmmES3BvtIA,108,101.0,0.9092970559819762,1.0,0.6
141,614.3477916666667,9_V0KE_8c4U,610,378.0,0.6152866586767118,2.2,2.0
146,240.53554166666663,UCcuVmgwApQ,241,239.0,0.9936161547851644,0.8,0.8
148,48.326541666666664,R-Uhnwm0PyI,428,45.0,0.931165327541715,0.6,0.3
149,332.5126666666667,pDWWSwe04AY,333,331.3,0.9963530211380418,0.6,0.7
152,223.059625,6FjqgK5Wmwg,223,216.5,0.9705925041342645,3.7,3.3
154,203.67675,5Z4fM0_2usc,202,196.9,0.9667279156801157,0.4,0.3
155,249.8612,AvIHdDbPvgU,250,245.5,0.9825455092667449,0.8,1.6
156,393.0645,uErKOv1wb_k,393,379.7,0.9659992189577028,1.0,0.4
157,28.86533333333333,MprY4vWfTL4,632,28.1,0.973486073259735,53.8,0.5
158,436.1926666666666,u-neICCDaTY,436,378.3,0.8672773040659405,1.3,1.2
159,268.9045,OVG0zcgcNok,267,261.2,0.9713485642672399,1.5,1.5
162,206.05391666666668,2N0D-kt2fX4,199,193.2,0.9376186734297293,0.6,1.6
164,564.767375,djrPX6OdlKE,565,377.0,0.6675314770085647,1.1,1.0
165,159.0596,3wHDxdEwjSo,159,150.3,0.9449288191344629,1.5,1.0
166,59.55920833333333,Tkw9jAGL-nQ,175,56.3,0.9452778432666094,0.2,0.2
170,310.51758333333333,nbWRPvFbZSg,313,306.9,0.9883498277472745,1.2,1.1
173,232.09795,RGdaZyBefAc,232,225.9,0.9732959726701593,0.7,1.4
174,95.21633333333334,OB3xld7u2Ms,1041,92.7,0.9735724613074087,905.0,0.1
176,47.751875,rAVJGOXrrxc,472,46.4,0.9716895933405756,0.5,0.3
182,38.89633333333333,WSUQbQ4QYos,1023,37.5,0.9641011577783682,160.4,1.2
183,161.07104166666667,Xk9awBJxZDM,163,135.4,0.8406228618065786,13.9,12.8
186,652.3298333333332,60iTktxIV6E,650,378.9,0.580841133792491,0.5,0.4
191,342.027,hejXlkkiWz8,1359,332.9,0.9733149722097962,1019.8,1.2
192,209.05795833333332,rguiOWLm1tg,209,198.2,0.94806244918923,0.8,0.6
195,60.499625,3Oo3T_z5zj8,5334,58.0,0.958683628204307,1738.8,0.4
197,236.0685833333333,4HVmbDGhpbI,329,224.5,0.9509948203611734,93.2,0.6
198,158.06695833333333,RWOGipu8OAc,265,147.1,0.9306182743758117,51.2,0.7
200,208.64,ylxR6-wyghE,209,197.6,0.9470858895705522,1.0,1.0
203,521.8742916666666,1mz9v6afj_g,519,379.3,0.7268033816892208,2.6,0.4
204,188.31675,n0-wtP8TZQE,190,147.3,0.7821927683012796,33.2,33.2
213,221.07429166666665,XeO2cWyB1Xg,227,214.8,0.9716190805391024,1.5,1.2
215,152.16329166666668,qwchF14gXdE,152,149.0,0.9792112037534239,0.6,0.6
216,135.62779166666667,p-4kNaeUVq8,140,129.0,0.9511324958902536,0.4,0.5
218,87.58858333333332,fmZPX5FV4Xk,88,85.5,0.976154616802228,0.1,0.1
223,96.391875,fYJVsptOXBc,96,91.6,0.9502875631374532,0.5,0.5
226,13.296333333333333,Mgy7YfDkefk,135,12.2,0.9175461906791346,0.5,0.2
227,113.031875,RZSNIAzmtMQ,113,106.6,0.9430968034459306,0.5,0.5
228,177.76329166666667,x2VfPAlJfVA,177,170.7,0.9602657466542,0.4,1.3
229,230.13879166666663,hdRBvKfGdZE,231,223.2,0.9698495346377033,0.3,0.6
231,279.40575,xDOf7ZVIrfM,280,276.1,0.9881686400512517,0.4,0.5
232,71.05308333333333,H4h6uVlfSxk,67,63.8,0.8979202169270158,0.3,0.1
236,145.05795833333337,1Pf1xgdzKyY,146,138.2,0.9527226329935359,0.9,0.2
237,314.1224583333333,PaTbTzrNLkA,316,308.0,0.9805093263123631,0.4,0.9
244,69.06779166666666,OudcDaEQ8Co,271,63.1,0.9135951574147864,4.6,1.0
245,246.67429166666668,PKoEYfMEyxE,247,237.3,0.961997289610811,2.1,2.2
246,258.01145833333334,5Zah4VWPiNE,504,50.5,0.19572774141975283,396.5,203.9
250,179.93145833333332,dsjYK0xOBV4,186,170.1,0.9453599808260321,5.1,0.5
252,136.93391666666668,YKQYXBUpxEc,137,127.8,0.93329690051223,0.6,0.6
254,188.3951,aHWckbyKmLc,534,181.2,0.9618084546784921,3.0,0.5
256,24.32,DS1vxdVj4jk,1345,22.6,0.9292763157894738,63.3,0.5
259,63.89554166666667,MRL-5CC8zLE,64,62.6,0.9797240678633682,0.2,0.1
261,1746.6775833333334,7tJc4F4U9EY,1747,377.3,0.2160101003185524,2.7,2.7
263,474.9845,0MikuFTonJ4,475,379.5,0.7989734401859429,0.8,0.8
264,722.07675,2bKWRDsC02o,1925,202.4,0.2803026132609865,458.5,77.8
266,142.73308333333333,2hPR7D7ya-k,143,139.7,0.9787499627801777,0.4,0.5
268,302.0539166666667,TGXXLaO0Ke4,1369,290.3,0.9610866934076615,807.3,1.8
269,546.0637083333334,7uLBx_VVQa0,540,366.6,0.671350236987763,14.6,12.6
271,122.20083333333334,LKYD33OT79s,122,112.2,0.9181606781186707,0.7,0.4
272,160.86204166666667,xH_JkLJoBpI,158,154.3,0.9592070223734676,1.3,0.4
274,173.06125,RQxVflQK7lM,173,169.4,0.9788441953354665,1.5,1.1
275,151.170625,7ACZoJleYT8,151,150.5,0.995563787607546,0.1,0.1
276,658.0245,vODC7VoNrD8,360,303.6,0.4613809972121099,1.9,2.2
277,266.18779166666667,SuHC4h2w64U,266,261.4,0.9820134813971401,4.6,4.6
280,237.06125,vt8PNSpie5g,248,229.9,0.9697915623072096,5.0,0.5
282,663.04,I8OT2HVx23g,5760,257.9,0.3889659749034749,5137.6,36.0
283,171.07591666666667,aLg-5B6G-Ho,167,160.9,0.9405181228022063,4.9,1.6
284,616.071875,n-m9NaUbr3M,1729,379.5,0.6159995536235119,1139.3,0.9
285,239.07266666666663,Zt9AEuocC_Q,250,232.2,0.9712528129522684,0.7,0.3
287,242.36408333333333,orx6EstWsl8,242,235.4,0.9712660257346988,0.5,0.5
290,420.075125,4BJ1N3KNBDQ,420,378.4,0.900791257278088,1.6,1.6
291,120.29391666666666,fr8adoP0R8o,120,112.5,0.9352093864541502,1.4,0.7
292,63.52983333333334,nhcyUL7QSb4,185,61.7,0.9711972590305341,0.6,0.2
293,906.7885833333332,9HN1CMMqORw,908,378.8,0.4177379457155716,1.0,1.3
294,138.5535,myTQlGH6AJU,140,133.2,0.9613614957399126,2.5,1.0
296,72.019625,Mq4xGlznkAE,71,69.6,0.9664032546684322,0.4,0.3
298,143.07266666666666,LBYIxhnnQi4,1615,139.7,0.9764268972876253,178.6,1.5
299,71.00083333333333,8wSWVC7Y4YA,389,67.4,0.9492846328094742,81.1,0.3
300,29.387791666666665,EiJ5bdmfMtw,419,23.3,0.7928462357526581,73.5,0.2
301,153.26041666666666,iI_VIk6-bxw,430,150.7,0.9832936858560457,269.6,0.3
302,458.05716666666666,jpG9l5_Yri4,458,378.6,0.826534388174984,1.6,1.2
303,225.7240833333333,FTphxXXSbFs,221,217.5,0.9635657692706694,1.8,1.9
307,334.02775,Giamz8EehFQ,334,324.1,0.9702786669670409,0.6,0.6
308,282.6529375,vuAIHmhJvs4,280,274.7,0.9718632412939278,3.6,1.6
309,123.79429166666668,O8cmFvO0YJA,124,119.7,0.9669266521780251,0.2,0.1
310,266.42925,7PeKI8Z5css,266,257.5,0.9664854740986584,0.5,0.5
311,163.25333333333333,36lb-1nIROk,159,157.1,0.9623080692584123,0.2,0.2
312,188.3616875,UjCEjVIGzv8,189,185.2,0.9832148058240346,0.3,0.3
315,139.859625,WHg-b2hunVE,148,134.4,0.9609635375470227,2.1,0.1
316,220.55185,0cHsD8AyPSU,224,215.3,0.9761876855714428,1.1,0.9
317,199.24125,ym8xmve3bVQ,201,188.2,0.9445835137051187,1.6,1.4
318,220.16,VlDbUiBQwoo,217.0,177.6,0.8066860465116279,33.5,33.8
320,195.08700000000002,vYtfHNU6Gc0,195,192.0,0.9841762905780497,1.9,1.9
322,242.99099999999999,-eLYm3e0gEI,250.0,236.0,0.9712293870966415,0.6,0.5
323,275.04875,xEtS_GdNUBk,275,268.3,0.9754634405718987,1.3,1.1
324,205.71429166666667,S3anFUuK5JQ,206,201.6,0.9799999716435193,0.4,0.2
325,254.0970625,Z9zaFzE66-o,254,250.4,0.9854501958282182,1.1,0.3
326,223.71265306122453,stYAPyJxrLs,222,218.0,0.9744643274170947,1.3,0.7
327,236.826125,mpxcjypua5w,241,233.0,0.9838441599295686,0.8,0.7
328,46.419625,pw3-fAavWMM,47,43.2,0.9306408657976017,1.1,1.1
330,210.0,9WgKubW5Z0o,211,205.4,0.9780952380952381,1.9,1.2
331,258.4266666666667,HSNKIdy5HJQ,261,254.5,0.9848054896295532,0.2,0.1
332,287.11716666666666,6t05xjrsAoE,287,281.5,0.9804359776467563,0.3,0.3
333,193.2,ELFaFkpBVIs,188,152.3,0.7883022774327123,32.6,31.3
334,203.83346938775512,f5u2uOM49eI,213,197.3,0.9679470235806741,4.9,0.3
335,237.6359183673469,BFRnXE6kl74,238,235.5,0.9910118033417612,0.6,0.6
336,243.6046875,9zoA0L2u-JQ,271,239.5,0.9831502113439422,29.7,1.6
338,243.66666666666663,wFK2r0OgmF4,243.0,240.5,0.9870041039671684,0.2,0.1
339,210.90099999999998,_O4stj9PcYI,210.0,206.5,0.9791323891304452,0.1,0.1
340,282.6449166666667,v33r88NXK-8,286.0,278.3,0.984627649710075,0.9,0.8
341,38.191041666666656,SL-b1GXLqbw,38,34.1,0.8928795474505913,0.2,0.2
342,327.84208333333333,yomowCF5icY,329,315.2,0.9614384974473228,1.9,1.5
343,124.34285714285713,cUUljoyrxCQ,128,119.6,0.9618566176470589,2.4,1.5
344,295.20983333333334,s7ZoVCuQcD8,294,288.4,0.9769322273027264,0.6,0.8
346,230.26666666666668,PCoCVYrJWYU,231,229.3,0.9958019687319051,0.2,0.1
347,273.18612244897963,Q_0wzSdtZbM,281,267.3,0.9784538014002563,3.3,2.4
348,141.95083333333332,AX6ss4bzpM0,138,137.0,0.9651229005348096,0.1,0.1
349,365.84489795918364,1Q9i-LxiGXo,378,363.0,0.9922237593716531,9.2,1.7
350,243.09554166666663,UqxL2lvb_oA,243,240.8,0.9905570392162343,0.3,0.3
352,185.4,YB0x2AGEUS8,190,177.9,0.959546925566343,2.2,2.1
354,55.08,csrVmkBCkFw,54,50.6,0.9186637618010167,0.7,0.7
355,170.45333333333338,oFzM7DJ9nFw,182,168.9,0.9908870463078846,5.3,0.2
356,333.58508333333333,WIHmmd8rrfE,334,332.8,0.9976465274601358,1.2,1.1
358,260.04900000000004,BVo5Y_yVdas,260,259.2,0.9967352306680662,0.3,0.1
359,24.84245833333333,2920nj96R8M,25,21.1,0.8493523352996133,1.1,0.3
360,190.955125,hYTjBhplTGY,204,189.7,0.9934271206389458,12.7,0.3
362,268.8,xI0uOSWuf_E,269,268.1,0.9973958333333334,0.0,0.0
363,247.90666666666667,CjxZXRR4NzQ,248,247.4,0.9979562200828269,0.3,0.1
364,238.34666666666664,LygwDxh-EmQ,237,234.4,0.9834414857910049,0.6,0.1
365,211.067,EKOPq3pDQBM,232,208.2,0.9864166354759388,22.6,0.2
366,301.2781875,OjYSC4_aawg,301,297.0,0.9857998764016064,0.6,0.4
367,248.346125,YA2aq4maAkw,248,243.2,0.9792784163634524,0.9,0.7
370,220.6563125,P4v17ic9ySQ,216,210.1,0.9521594810481571,1.2,0.3
371,199.68,Rdk-rHAndNc,202,195.7,0.9800681089743589,0.6,0.5
373,136.20244897959185,Ypn6Vj6PvOo,136,131.6,0.966208764863828,0.5,0.5
374,90.869625,TywmpMQYojs,94,89.9,0.9893294926660037,0.4,0.3
375,227.4138125,TuoxwcHcdn8,227,219.2,0.963881646370974,4.0,3.4
376,216.398375,X_-q9xeOgG4,219,209.3,0.9671976510914189,7.8,1.4
378,35.03020833333333,qvtaKF-rDQU,43,30.3,0.8649677361800828,7.8,0.3
379,208.3262083333333,QlXhHQQFCfk,208,200.9,0.964352980871946,0.7,0.7
380,91.14125,SVGV6lvNTR4,96,86.5,0.9490762964080479,0.2,0.2
381,54.56983333333334,j6AhepWgYg4,57,50.2,0.9199221792260069,0.9,0.8
382,169.09599999999998,y0g8p5uweYQ,170,163.1,0.9645408525334722,1.8,1.8
383,95.16408333333334,yEKDYIYMgBc,96,86.7,0.9110580059528761,5.3,0.3
384,189.75985,0qjzWSZ1mpI,211,184.3,0.9712275805445673,4.2,0.4
386,143.7257,cREpeMHduZo,144,138.7,0.9650326977012462,0.4,0.5
388,97.77633333333333,DXngbbrkHL0,98,90.0,0.9204681432793894,1.7,1.5
389,477.26666666666665,wqnRMcZyUJU,483,68.0,0.14247799972063138,223.4,212.8
390,150.07345,5VwPYWQDQXM,150,146.8,0.9781876807656518,0.5,0.5
392,135.1053,DC0q1GrcviM,134.0,130.8,0.9681337445681258,0.2,0.5
394,131.29145833333334,CyaEsCxyi9E,142,92.4,0.7037776956167814,19.0,13.0
395,107.6245,xwR98IoWpuA,109,100.2,0.9310147782335807,0.5,0.4
396,179.6825,e8XN8RwFedg,180,96.9,0.5392845713967693,41.5,41.9
397,139.25875,hj3sWYDKO0A,139,133.6,0.9593652104445861,0.5,0.5
398,86.0553125,o0kZGz6CZa8,85,81.0,0.9412550794002404,1.0,0.8
399,166.84408333333334,2mPOR-Eb87o,168,162.1,0.9715657682397087,1.3,1.3
400,164.25795,H4s9R8vYx1Y,164,158.5,0.9649456845163354,0.6,0.5
402,340.03591666666665,k--JfatucHY,339,334.2,0.9828373522306835,0.4,0.3
404,358.06041666666664,aG9IhX48QPI,482,346.4,0.96743449953162,0.3,0.3
405,323.18695,5V_jyIj2mpA,327,318.5,0.9854977127015803,5.2,2.0
407,279.5363,FeCPW-cGah0,279,275.5,0.9855607303953011,1.6,0.6
408,370.7037083333333,61XXShTo22E,371,359.1,0.9686981595476802,1.1,1.3
410,257.28,mlPSzucHKnw,258,238.2,0.925839552238806,0.4,0.3
411,275.487375,CP5IhNePIck,276,263.6,0.9568496559960327,0.5,0.5
412,499.591875,iUXEbNm-0Tg,500,379.0,0.7586192229407254,1.3,1.1
413,370.102875,PLuuTRgDegQ,372,363.9,0.9832401328954821,0.4,0.3
414,280.26779166666665,4RzkdvT6Pnw,280,273.3,0.975138806977315,0.4,0.3
415,190.58941666666664,i82tkFErHzI,191,184.1,0.9659508026197678,0.7,0.7
416,255.4514583333333,MjkeCC6L5II,248,244.9,0.958694859672459,2.8,2.1
419,1561.9395625,DUR6zK9XcaM,1561,380.2,0.24341530820274615,380.1,0.2
420,131.05633333333333,5Luen1AghJk,130,124.6,0.9507361974112913,2.4,0.7
422,298.6318125,XEkruoBv-7M,299,293.1,0.9814761446421586,0.4,0.4
424,470.41308333333336,5Pi5ZJZ07ME,460,200.0,0.4251582430123028,159.2,160.5
426,473.49554166666667,PbO3gPeRxEo,475,306.2,0.6466797953835011,0.3,0.6
427,504.0326666666666,33AsOWpWjZE,505,378.4,0.7507449913960603,1.7,1.8
428,197.53795,NCKHbqaOweA,198,188.1,0.9522220920081432,0.3,0.3
429,179.931375,Mg4eOHc3Rpg,184,175.2,0.9737045581961455,0.5,0.2
431,188.10775,m-d5Xdm-EBY,194,181.7,0.9659357469322767,0.4,0.3
432,1028.4147,GhQUJmhsLDI,665,379.7,0.36920903600463895,17.2,0.1
434,182.5698333333333,RgtTD3lcmH0,195.0,174.2,0.9541554418902722,0.3,0.6
436,589.1519999999998,MwYajj7T0q0,7380,137.2,0.23287708435174628,192.6,193.2
437,423.5232916666667,cyQ7Q_BAZW0,424,380.0,0.8972351874783746,0.4,0.3
438,225.09715,59til4fU1tk,224,219.8,0.9764672720201034,0.5,0.4
439,153.3649,4ADiaFPiRlA,160,150.7,0.9826237946231503,0.5,0.5
440,509.38779166666666,7QN7AGbtCAU,510,379.3,0.7446193375757354,0.3,0.5
443,157.07429166666662,uFmj6p67ayQ,175,43.8,0.27884894170301056,45.2,45.7
444,490.78858333333335,bV02xZfrV2o,493,379.0,0.772226601983916,1.3,1.3
445,208.03920833333333,3CSQYnhJeGU,210,202.3,0.9724128524651103,3.5,1.3
446,179.5657,roKDHGGggEw,183,172.4,0.9600942719015938,0.9,0.8
447,186.06666666666663,JkDBV4GGV50,186,178.6,0.9598710139734863,0.9,0.4
448,212.9502083333333,7S3F8Nnapjs,213,204.6,0.9607879776277907,0.4,0.6
450,181.96900000000002,_IqqwYesH58,182,175.1,0.9622518121218447,0.6,0.5
451,220.7608,HrnIK9-LE_0,224,210.9,0.9553326496370733,1.0,1.0
452,211.56,lh8GRYQtx2Q,226,205.7,0.9723010020797882,1.5,0.4
453,360.07185,f72G0huGCzA,364,351.6,0.9764717791740732,0.4,0.9
455,234.8147,Zi-AmJmmZ88,306,190.0,0.8091486606247394,51.3,27.0
458,254.1975833333333,Po8J4NBdiSc,257.0,93.6,0.368217505346071,92.2,90.5
460,178.26491666666664,ptCuv5WvifY,180,174.2,0.9771973266379299,0.6,0.6
462,206.686125,XuNxOjFX8oI,205,198.8,0.9618449230687353,1.1,0.7
463,178.29104166666667,rmQY7aNQ9IA,179,173.3,0.9720062117534883,0.2,0.3
464,177.402875,6g6UehIKO-E,179,172.8,0.974054112708151,0.3,0.3
466,185.1298,Y8do5iMTEQI,191,38.8,0.20958268198852914,14.4,8.5
467,326.84408333333334,qPfccMtDAJM,327,321.1,0.98242561629156,0.4,0.3
468,728.9992083333333,oQcCefkIHGA,730,378.8,0.5196164764925156,0.6,1.5
469,390.00816666666674,JE5ozZro9Ng,390,379.4,0.9728001422192439,1.0,0.9
471,294.92245833333334,XkD8ojDmV8Y,295,288.1,0.9768669420026932,0.6,0.5
472,352.339625,UdegVsrO6Ac,352,346.5,0.9834261474280674,0.5,0.5
474,386.6645,C-o8EeITzYM,385,380.0,0.9827641275576113,1.2,0.4
476,571.03675,0XNvvKo3Ov8,572,341.0,0.5971594647805067,0.1,1.1
477,323.0040833333333,hpx7eaKjCfY,326,200.6,0.6210447803936432,26.5,26.2
478,525.06125,BVF2H3s_Mk0,525,379.3,0.7223919114198583,0.6,0.5
480,337.81554166666666,9r31Vlw4MkY,338,336.9,0.9972898178036756,0.1,0.1
482,289.4754375,I38lOVzRZDU,289,285.5,0.9862667536343217,0.9,0.5
483,168.07185,bRQEq2UvuMQ,203,120.2,0.7151703274522175,20.2,15.2
484,141.06666666666666,O0gzsR-40Bw,142,134.9,0.9562854442344046,0.5,0.3
485,424.75104166666665,o1izfUdFJjU,426,379.3,0.8929936899311116,0.4,0.5
486,216.9208333333333,4QXGeuNRHLE,216,209.9,0.9676341215113042,3.7,0.3
487,349.93633333333327,L6Bdc_fGSvk,351,344.6,0.9847505593874698,1.3,0.3
488,447.60816666666665,Kmt31uOnb0U,446,379.7,0.8482865780301149,0.5,0.6
490,313.0253333333333,fJslbjCzVJk,345,304.0,0.9711674028513134,32.0,1.1
491,266.9714583333333,XlMCKQTg1oY,267,265.9,0.995986618419728,0.4,0.3
492,152.607375,x5z9GGpYDKc,154,139.0,0.9108340930443237,0.4,0.2
493,158.64166666666668,TqIrcCbEJbk,159,153.3,0.9663287282660082,0.5,0.4
494,342.0473469387755,UFNCC3XpPjg,342,336.5,0.9837819325645334,0.4,0.3
495,460.70666666666665,i3LrtMzAIec,462,379.6,0.8239516105692705,0.7,0.7
496,339.7224583333333,HD5nHtltdN0,340,333.9,0.9828611321079622,0.2,0.2
498,289.462875,1G-zEp6iErY,289,283.1,0.9780183382756771,0.5,0.5
499,704.6008333333333,qE-5IuqUIP8,705,378.9,0.537751279980036,0.3,0.4
501,301.4008333333333,uQ8WewCpE5E,301,298.8,0.9913708488972327,0.4,0.4
502,353.8547083333333,DyUlp_4bV0c,354,349.4,0.9874109112344015,0.4,0.4
503,297.45633333333336,Xab8yPALBaA,298,290.9,0.9779586695638237,0.7,0.7
504,504.05879166666665,Q-MGARQSCNs,504,379.7,0.7532851450612036,0.4,0.6
506,318.11920833333335,hE_N8dJObGM,315,309.7,0.9735344232200166,0.6,0.5
507,540.6824583333333,P_FeSOb-z8Q,537,379.8,0.7024455743778754,0.6,0.5
508,401.4498333333333,6nYI0a-pZM0,402,379.8,0.9460708872299944,0.5,0.5
509,483.73554166666673,SuMd8ldLqxo,488,379.3,0.7841061227239091,5.7,0.9
510,484.04900000000004,fDfFjsUN8e4,482,370.7,0.7658315583752884,9.0,9.5
511,295.73225,Cg-DPNqpWxY,296,286.9,0.9701343022277752,1.5,1.2
512,325.66858333333334,CWHSKcVgEXM,326,319.4,0.9807516485957221,0.3,0.3
514,364.46041666666673,i_sHjNcIrOs,371,359.7,0.9869384535357633,5.7,0.5
